"Site Time","Weather Station Ground Mount 1 - Amb T, Mod T1, Wind: Ambient temp (TempF) Degrees Fahrenheit"
03-23-2025 12:00:00,48.107
03-23-2025 13:00:00,51.759
03-23-2025 14:00:00,52.634
03-23-2025 15:00:00,54.896
03-23-2025 16:00:00,54.228
03-23-2025 17:00:00,50.747
03-23-2025 18:00:00,47.472
03-23-2025 19:00:00,44.973
03-23-2025 20:00:00,43.015
03-23-2025 21:00:00,40.672
03-23-2025 22:00:00,39.807
03-23-2025 23:00:00,40.146
03-24-2025 00:00:00,40.891
03-24-2025 01:00:00,40.938
03-24-2025 02:00:00,39.693
03-24-2025 03:00:00,39.234
03-24-2025 04:00:00,39.275
03-24-2025 05:00:00,38.948
03-24-2025 06:00:00,38.57
03-24-2025 07:00:00,39.041
03-24-2025 08:00:00,40.838
03-24-2025 09:00:00,42.915
03-24-2025 10:00:00,44.073
03-24-2025 11:00:00,45.427
03-24-2025 12:00:00,46.075
03-24-2025 13:00:00,46.4
03-24-2025 14:00:00,47.93
03-24-2025 15:00:00,48.637
03-24-2025 16:00:00,49.369
03-24-2025 17:00:00,51.583
03-24-2025 18:00:00,52.173
03-24-2025 19:00:00,48.869
03-24-2025 20:00:00,46.664
03-24-2025 21:00:00,45.267
03-24-2025 22:00:00,44.298
03-24-2025 23:00:00,44.802
03-25-2025 00:00:00,46.252
03-25-2025 01:00:00,45.773
03-25-2025 02:00:00,45.605
03-25-2025 03:00:00,45.394
03-25-2025 04:00:00,44.207
03-25-2025 05:00:00,41.217
03-25-2025 06:00:00,38.62
03-25-2025 07:00:00,39.671
03-25-2025 08:00:00,""
03-25-2025 09:00:00,""
03-25-2025 10:00:00,""
03-25-2025 11:00:00,""
03-25-2025 12:00:00,""
03-25-2025 13:00:00,""
03-25-2025 14:00:00,""
03-25-2025 15:00:00,""
03-25-2025 16:00:00,""
03-25-2025 17:00:00,""
03-25-2025 18:00:00,""
03-25-2025 19:00:00,""
03-25-2025 20:00:00,""
03-25-2025 21:00:00,""
03-25-2025 22:00:00,""
03-25-2025 23:00:00,""
